轁 韜
轊 軎
嬱 㜞
嬢 孃
嬊 嬿
嫺 嫻
聭 媿
媫 婕
䲤 鿐
䜄 謘
䜐 䜏
䜔 䜏
譛 譖
䜘 警
䜛 讒
䜁 謑
䞉 賸
賐 䞊
䞋 嚫
䢄 枲
䦽 序
䦰 鬮
鑺 戵
戱 戲
䦨 闌
䦧 鬩
䦦 琴
䦞 閏
䦜 郚
䦗 侐
䦕 閛
鑻 襻
䙧 纁
婯 麗
婱 娹
媇 親
婔 婓
娰 姒
娯 娛
娬 嫵
娦 嬪
塪 埳
塡 填
塦 陣
墍 塈
蘝 蘞
蘔 蘏
蘎 驥
蘍 薰
藳 稿
蕏 藸
蕐 華
萔 苕
薼 蔯
薻 藻
䓦 典
䓒 蒯
䓓 薵
䎫 堫
綨 綦
䋄 網
緤 紲
䋺 緧
䋳 褙
㛮 嫂
㛰 婚
孆 嬰
㚳 妿
㚩 姌
㚦 姬
姢 娟
㦲 哉
㦯 或
䇳 箋
䇱 笝
稶 稢
䅨 香
䅠 稊
姸 妍
㞣 芬
㞢 之
妉 媅
娂 妅
閇 閉
閳 闡
閴 闃
闝 嫖
夶 比
夛 多
彨 螭
敽 敿
夐 敻
夁 壹
夀 壽
壷 壺
壵 壯
壀 埤
塐 塑
堾 踳
堺 界
堢 堡
埿 泥
埛 坰
埓 埒
埑 哲
埀 垂
墴 堭
㘺 垡
㘹 垐
壃 疆
壄 野
壦 壎
壡 叡
坸 垢
坮 臺
坧 墌
坣 堂
坙 巠
坘 坻
坖 忌
坃 壎
璓 琇
璖 璩
瑨 璡
瑘 琊
䂵 碽
㳤 淑
㳡 濄
㳝 洭
㱭 毈
摏 舂
㭴 樫
㭱 匣
㭤 樢
㭏 椲
棢 輞
㧰 擽
蠧 蠹
檆 杉
㧛 攬
㥪 慺
㤽 懤
㤭 憍
圫 墺
㞹 岢
㚮 媅
㚯 㜄
㕖 素
㕕 幻
㑩 儸
㑔 㑯
畒 畝
畍 界
㑽 傏
㑹 會
㑷 態
㑴 侵
圤 墣
傡 並
偼 倢
偹 備
㐽 偑
㐷 傌
圡 土
圏 圈
圀 國
囼 胎
囻 國
囸 日
囶 國
嚢 囊
嚠 瀏
嚞 哲
嚖 嘒
嚔 嚏
㐭 廩
㐫 凶
㐧 第
㐡 懦
㐅 五
㐂 喜
㐀 丘
譡 讜
嘫 然
囬 回
囦 淵
囘 回
嚻 囂
嗠 酪
嗸 嗷
晩 晚
晣 晢
嚉 咄
呩 嗜
囏 艱
呞 齝
叐 犮
叏 夬
収 收
厺 去
厳 嚴
厫 廒
㢆 廛
㕓 廛
渕 淵
渓 溪
厇 磔
卪 卩
卥 西
勈 勇
勄 敏
劚 斸
㓥 劏
劎 劍
劅 斀
剱 劍
剰 剩
兘 始
兖 兗
兾 冀
刴 剁
刹 剎
譼 監
搄 揯
拠 據
拞 抵
拝 拜
陿 陜
埨 陯
陥 陷
陹 昇
隟 隙
隠 隱
隫 墳
隲 騭
隭 陑
阦 陽
阧 陡
阾 嶺
鍢 鍑
耉 耇
耊 耋
哌 呱
哣 咅
哶 羋
唣 唕
噛 齧
歯 齒
単 單
卐 卍
卆 卒
噐 器
噋 啍
噕 噅
噄 喫
啠 哲
啙 呰
䙂 幒
衳 幒
䙚 褭
䙗 褅
